Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1.3234584	0.24642746	-0.83589536	-1.6612521	-0.89489764	5.9604645e-08	-0.8948977	-0.8948977	1.0	1.0	99	-1.5391788	0.6811034	0.07243254	-3.361747	0.4946348	0.24190743	524.5458118915558
2	-1.2217889	0.14178422	-0.9495747	-1.5456913	-1.0123223	0.0	-1.0123223	-1.0123223	1.0	1.0	199	-1.8220752	0.6160025	-0.8356788	-4.2217183	1.2294239	0.022181747	1215.0704317092896
3	-1.2038287	0.2177692	-0.6856178	-1.6009606	-0.8359524	0.0	-0.8359524	-0.8359524	1.0	1.0	299	-2.1926262	0.7108519	-1.4140311	-5.8265195	1.6501676	0.014009832	1947.4699246883392
4	-1.0663925	0.15312439	-0.69305885	-1.4885355	-0.96301067	5.9604645e-08	-0.9630107	-0.9630107	1.0	1.0	399	-2.5202827	0.8061535	-1.8628385	-7.1414866	1.8867278	0.007139917	2677.165463447571
5	-1.0648758	0.16306593	-0.6580446	-1.5489837	-0.79235804	5.9604645e-08	-0.7923581	-0.7923581	1.0	1.0	499	-2.847622	0.91176087	-2.0464406	-8.922258	2.1772633	0.0075373165	3414.4236314296722
6	-1.0055261	0.14285809	-0.636427	-1.4545527	-0.62932074	5.9604645e-08	-0.6293208	-0.6293208	1.0	1.0	599	-3.1442566	1.017156	-2.3761587	-10.632046	2.3384476	0.0050194436	4149.434742927551
7	-0.8537396	0.13552208	-0.57509136	-1.3117448	-0.40926528	0.0	-0.40926528	-0.40926528	1.0	1.0	699	-3.419036	1.1936405	-2.5758421	-12.52654	2.4579408	0.0064564254	4892.346547603607
8	-0.84906054	0.11671305	-0.611898	-1.1406735	-0.40593654	0.0	-0.40593654	-0.40593654	1.0	1.0	799	-3.5947888	1.2422107	-2.6205194	-14.056166	2.6081805	0.008512613	5630.561936616898
9	-0.8549848	0.15780729	-0.47880435	-1.2562369	-0.42848864	0.0	-0.42848864	-0.42848864	1.0	1.0	899	-3.7977376	1.3393261	-2.7385395	-15.445572	2.7302723	0.009154342	6345.9684891700745
10	-0.8439097	0.11991352	-0.5530888	-1.145917	-0.33525464	0.0	-0.33525464	-0.33525464	1.0	1.0	999	-3.963234	1.3554734	-3.02195	-16.491716	2.8840833	0.009172286	7067.524891138077
11	-0.8346956	0.12090009	-0.5410987	-1.2272537	-0.34538704	0.0	-0.34538704	-0.34538704	1.0	1.0	1099	-4.1113815	1.3663988	-3.1647365	-16.918602	3.0270846	0.010666103	7805.868754386902
12	-0.81845915	0.125181	-0.55326176	-1.0770509	-0.34237105	2.9802322e-08	-0.34237108	-0.34237108	1.0	1.0	1199	-4.2586737	1.3578064	-3.3471258	-17.569498	3.1820583	0.007479578	8531.632619857788
13	-0.8392487	0.124457106	-0.5287827	-1.220352	-0.38431928	0.0	-0.38431928	-0.38431928	1.0	1.0	1299	-4.401726	1.3606616	-3.510341	-17.843508	3.2941089	0.0043567903	9247.486618041992
14	-0.8497838	0.13740277	-0.45121035	-1.2823792	-0.36203283	2.9802322e-08	-0.3620328	-0.3620328	1.0	1.0	1399	-4.578045	1.4499247	-3.6578035	-19.778498	3.4414806	0.010946703	9961.715745925903
15	-0.8485603	0.12868299	-0.5860724	-1.2222	-0.39507315	0.0	-0.39507315	-0.39507315	1.0	1.0	1499	-4.6930256	1.4055754	-3.679546	-22.307774	3.6139743	0.022508794	10695.812402009964
16	-0.85438436	0.1245063	-0.5674359	-1.1287819	-0.43281135	0.0	-0.43281135	-0.43281135	1.0	1.0	1599	-4.8150334	1.363047	-3.787111	-21.47867	3.7472172	0.020705394	11431.846377849579
17	-0.8418677	0.10995235	-0.63423413	-1.1336094	-0.39106053	0.0	-0.39106053	-0.39106053	1.0	1.0	1699	-4.937095	1.4208394	-4.0697246	-20.412935	3.8363128	0.0053634406	12136.85777592659
18	-0.8571919	0.13574013	-0.58480465	-1.2278322	-0.38808566	2.9802322e-08	-0.3880857	-0.3880857	1.0	1.0	1799	-5.0482163	1.2978822	-4.2103415	-19.640505	3.939642	0.0027294916	12659.633824825287
19	-0.83579564	0.1231406	-0.55848795	-1.2461237	-0.35128456	2.9802322e-08	-0.3512846	-0.3512846	1.0	1.0	1899	-5.161189	1.2603589	-4.3076215	-20.725914	4.0452533	0.0034225627	13204.707085847855
