Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-6.5367527	0.045206413	-6.450187	-6.606327	-2.899231	0.002389741	-2.8920615	-2.9000273	4.0	4.0	44	-1.4374167	1.7964289	1.7191112	-4.229041	-1.3111821	2.0622668	2.4591303	-4.3847194	-13.304278	33.54805	210.51675	-39.168083	-1.2192789	97.80977	327.61636328697205
2	-6.573921	0.029483512	-6.5249305	-6.6144643	-2.2917774	0.0008618831	-2.2891917	-2.2920647	4.0	4.0	89	5.01027	1.461962	6.926386	1.234157	5.3304687	1.0650824	6.7811975	1.7534717	-33.676414	1.4158236	-28.405571	-38.870922	-11.662752	3.048322	599.7767817974091
3	-6.5312176	0.031738654	-6.4688616	-6.579237	-2.3187478	1.645261e-05	-2.318742	-2.3187969	4.0	4.0	134	6.6000233	0.35708508	7.3117805	5.54243	6.647138	0.2942655	7.2728176	5.77026	-33.88127	1.2239846	-28.646313	-38.93931	-13.351891	0.15761943	871.1379985809326
4	-6.5618463	0.041893348	-6.4402995	-6.5949826	-2.471128	0.00022637872	-2.471053	-2.4718075	4.0	4.0	179	7.6245174	0.28104377	8.285685	6.897211	7.6198196	0.28488415	8.368796	6.895135	-33.978382	1.0911366	-29.991215	-39.18212	-14.385115	0.103604764	1147.0909843444824
5	-6.5487537	0.044157345	-6.4295654	-6.6073604	-2.5571437	6.694809e-05	-2.5571215	-2.5573447	4.0	4.0	224	8.522653	0.26138455	9.056615	7.8608685	8.521648	0.2631709	9.160425	7.8934026	-34.057262	0.9957127	-30.40416	-39.083946	-15.31037	0.07883513	1420.162971496582
6	-6.55399	0.048823003	-6.413856	-6.6093254	-2.4420562	7.8034696e-05	-2.4418223	-2.4420824	4.0	4.0	269	9.36289	0.25155935	9.888257	8.809062	9.360649	0.2518916	9.879733	8.806997	-34.08361	0.9894782	-30.802662	-38.3875	-16.159506	0.07607804	1693.1909489631653
7	-6.561566	0.031302273	-6.5109515	-6.61186	-2.3607948	0.000110078065	-2.3604643	-2.3608313	4.0	4.0	314	10.212015	0.25779247	10.749595	9.668155	10.209849	0.26052028	10.756634	9.672142	-34.117107	0.94984394	-30.0752	-38.901443	-17.016792	0.07435153	1966.5381717681885
8	-6.5380282	0.029923964	-6.4881215	-6.5913506	-2.5501728	0.00032408236	-2.5500648	-2.551145	4.0	4.0	359	11.100267	0.26517886	11.697831	10.564936	11.098222	0.26831576	11.711823	10.561523	-34.132015	0.91995883	-31.226738	-39.18477	-17.908455	0.06988285	2241.948844432831
9	-6.5730267	0.034448653	-6.5118847	-6.626267	-2.213456	0.00061004166	-2.211626	-2.2136595	4.0	4.0	404	12.006183	0.2669459	12.579898	11.422505	12.000863	0.26660302	12.567496	11.455107	-34.123978	0.89287716	-31.264145	-38.38374	-18.81631	0.06556765	2512.5705490112305
10	-6.5518537	0.034026153	-6.4902043	-6.596069	-2.3064098	0.00011565727	-2.306371	-2.3067565	4.0	4.0	449	12.906838	0.2672262	13.442035	12.3169565	12.906528	0.26473966	13.429826	12.382444	-34.13801	0.8974379	-31.227455	-38.772697	-19.725315	0.06401174	2783.2416961193085
