Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1.6408924	0.019435732	-1.5260391	-1.6668745	-1.6417973	1.1920929e-07	-1.6417972	-1.6417972	1.0	1.0	499	4.2282844	2.6046054	11.352602	-0.05182512	4.2267294	2.6200824	11.553782	-0.06103657	-30.395802	4.000188	-4.4248047	-45.787006	-10.701849	18.605108	1665.1566967964172
2	-1.6469133	0.016838023	-1.4978236	-1.6686285	-1.6222048	0.0	-1.6222048	-1.6222048	1.0	1.0	999	12.2833	2.5522857	22.411383	2.0874758	12.287555	2.5447903	21.768864	1.760383	-24.846455	5.382049	-2.4547195	-44.942894	-18.562136	2.994249	3331.8887119293213
3	-1.6476904	0.013868152	-1.5738358	-1.6682869	-1.6590128	0.0	-1.6590128	-1.6590128	1.0	1.0	1499	17.498774	3.6188188	28.638403	-3.8971617	17.512503	3.5899103	29.431507	-2.650923	-17.213913	5.9922433	10.509926	-40.228153	-23.527771	7.06826	4994.380531549454
4	-1.6474605	0.017145533	-1.5485005	-1.6683583	-1.6623609	1.1920929e-07	-1.662361	-1.662361	1.0	1.0	1999	21.327444	3.6962652	30.542843	-21.354012	21.327217	3.6976547	31.089464	-21.11903	-12.152791	6.4269238	16.1932	-39.977715	-27.770473	5.4480486	6643.252619981766
5	-1.6511191	0.012807699	-1.5926572	-1.6692297	-1.6608708	0.0	-1.6608708	-1.6608708	1.0	1.0	2499	25.210627	4.095437	34.31676	-26.562077	25.209906	4.104675	34.640476	-26.22306	-8.465148	6.709697	18.599632	-35.4694	-30.938658	5.093574	8291.062514543533
6	-1.6467533	0.014342937	-1.5646476	-1.6683612	-1.5983016	0.0	-1.5983016	-1.5983016	1.0	1.0	2999	24.1799	4.966584	34.381138	-37.559856	24.176003	4.9936543	34.389687	-35.726707	-3.6030993	6.5915465	20.870728	-31.799843	-30.39488	5.435549	9940.926656007767
7	-1.6442665	0.017258227	-1.513437	-1.668832	-1.6339611	1.1920929e-07	-1.6339612	-1.6339612	1.0	1.0	3499	21.398903	5.9326262	32.77712	-45.794395	21.395462	5.961755	33.504623	-43.83851	-2.9825163	6.672796	22.28331	-34.654217	-27.627012	5.2230144	11599.172431707382
8	-1.6436496	0.017851617	-1.5381329	-1.6702625	-1.6184576	1.1920929e-07	-1.6184577	-1.6184577	1.0	1.0	3999	16.307728	7.0334115	28.909811	-64.66114	16.304781	7.0481496	28.488949	-63.698822	-1.5074096	6.404003	22.102966	-29.94236	-22.799372	5.060034	13259.126504659653
9	-1.6390308	0.019602187	-1.5185763	-1.6671766	-1.6529468	1.1920929e-07	-1.652947	-1.652947	1.0	1.0	4499	8.952487	7.921738	22.369093	-80.107	8.950515	7.9321322	22.556995	-81.48306	-3.175806	5.900151	17.816116	-31.173828	-16.19231	4.7148986	14915.555274963379
10	-1.6380005	0.018225336	-1.5240747	-1.6682382	-1.6477835	0.0	-1.6477835	-1.6477835	1.0	1.0	4999	-0.23210986	8.948974	14.580352	-97.47479	-0.2310168	8.95627	14.822524	-98.46573	-5.437376	5.435624	11.730656	-30.538902	-7.916922	4.5619802	16549.150616168976
11	-1.6288741	0.022959141	-1.5187173	-1.6617371	-1.635967	1.1920929e-07	-1.6359671	-1.6359671	1.0	1.0	5499	-12.157468	10.293151	4.67695	-124.381	-12.157515	10.295492	5.0334935	-125.48533	-4.7577534	5.123929	12.4235935	-29.012426	2.241314	4.497678	18187.473759174347
12	-1.6096985	0.035164732	-1.4324316	-1.6607417	-1.5286047	1.1920929e-07	-1.5286049	-1.5286049	1.0	1.0	5999	-24.355307	10.924953	-5.530822	-132.50156	-24.357836	10.92746	-6.0165553	-136.62572	-1.4840367	4.9491787	14.007395	-23.901917	12.273063	4.332836	19823.41484284401
13	-1.5834033	0.053997982	-1.2675599	-1.6632999	-1.4967337	0.0	-1.4967337	-1.4967337	1.0	1.0	6499	-37.342236	12.417436	-14.622041	-162.24112	-37.34258	12.419555	-14.991833	-159.9984	2.8756278	4.9006658	18.129845	-20.202637	23.375605	4.6037045	21460.848485946655
