Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-1.6407273	0.020195778	-1.5271364	-1.6639843	1.0	-0.07330085	7.450581e-09	-0.07330086	-0.07330086	100	0.4556375	2.6371918	0.0	-2.58892	0.9189386	-3.8146972e-08	669.2319550514221
1	-1.6379852	0.021640595	-1.5692637	-1.6677294	1.0	-1.8880821	2.3841858e-07	-1.8880824	-1.8880824	200	-1.0631386	2.3747606	0.0	-2.1966789	0.91901034	-2.2888183e-07	1331.5854547023773
2	-1.645469	0.015394589	-1.5668683	-1.6665082	1.0	-3.2566116	2.3841858e-07	-3.2566118	-3.2566118	300	0.40587226	2.131031	0.0	-1.6883886	0.91898006	2.670288e-07	1985.7440147399902
3	-1.6404915	0.020503502	-1.5209813	-1.6650788	1.0	-4.5048685	0.0	-4.5048685	-4.5048685	400	0.320876	1.9403465	0.0	-1.340314	0.9189684	3.8146972e-08	2663.051309108734
4	-1.6383638	0.026200864	-1.4905449	-1.6663293	1.0	-5.6734514	4.7683716e-07	-5.673452	-5.673452	500	1.3737394	1.7651421	0.0	-1.065736	0.9189592	3.8146972e-08	3317.513522863388
5	-1.6389445	0.021145603	-1.5227908	-1.665078	1.0	-6.7416534	9.536743e-07	-6.7416544	-6.7416544	600	0.043029327	1.7288858	0.0	-0.9319143	0.9189826	-3.8146972e-08	3985.007751226425
6	-1.6421474	0.017489579	-1.5940226	-1.6678708	1.0	-7.748975	4.7683716e-07	-7.7489743	-7.7489743	700	0.17747909	1.7237549	0.0	-0.7781825	0.91899884	-1.14440915e-07	4655.861390352249
7	-1.6391938	0.024697237	-1.5194706	-1.6663151	1.0	-8.671523	9.536743e-07	-8.671524	-8.671524	800	0.7425657	1.7234372	0.0	-0.77883095	0.91901445	0.0	5307.54235458374
8	-1.6397755	0.0200319	-1.5616169	-1.6682223	1.0	-9.590285	0.0	-9.590285	-9.590285	900	0.3910405	1.6620485	0.0	-0.67167073	0.9190383	7.6293944e-08	5964.374184370041
9	-1.6419499	0.020852918	-1.5487814	-1.6685939	1.0	-10.439284	0.0	-10.439284	-10.439284	1000	1.1264502	1.3860359	0.0	-0.5772694	0.91905916	0.0	6632.925545454025
10	-1.6352872	0.02712852	-1.5172513	-1.6679223	1.0	-11.223043	9.536743e-07	-11.223044	-11.223044	1100	1.1000732	1.4755926	0.0	-0.62146604	0.9190923	1.14440915e-07	7299.4846477508545
11	-1.6399508	0.023474656	-1.5615447	-1.6681378	1.0	-12.030368	1.9073486e-06	-12.030366	-12.030366	1200	0.6239218	1.31855	0.0	-0.7523486	0.91913027	-3.8146972e-08	7957.042867183685
12	-1.6370205	0.024898306	-1.5408084	-1.6665735	1.0	-12.908042	9.536743e-07	-12.908041	-12.908041	1300	0.13964683	1.2572006	0.0	-0.6567775	0.91917175	3.4332277e-07	8604.696352481842
13	-1.6411628	0.017550133	-1.5816853	-1.6686058	1.0	-13.721832	3.8146973e-06	-13.721836	-13.721836	1400	-0.011201172	1.1663822	0.0	-0.68942094	0.9192078	-1.14440915e-07	9259.410103082657
14	-1.640475	0.020817894	-1.5300051	-1.6670392	1.0	-14.548359	1.9073486e-06	-14.548361	-14.548361	1500	1.1864053	1.3515052	0.0	-0.7313003	0.9192393	-3.8146973e-07	9925.785859584808
15	-1.6395205	0.016244588	-1.5920229	-1.6666842	1.0	-15.392457	9.536743e-07	-15.392458	-15.392458	1600	0.13753448	1.2642833	0.0	-0.8141536	0.91927725	-3.8146972e-08	10590.378330469131
