Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1.6407279	0.020195505	-1.527144	-1.6639844	1.0	-0.07330085	7.450581e-09	-0.07330086	-0.07330086	100	-1.0371208e-06	2.6371937	-0.12172979	-2.588922	0.9189386	0.016641274	0.39	6.0	327.9123728275299
1	-1.6383452	0.021591881	-1.5581989	-1.6667947	1.0	-1.8880824	5.9604645e-07	-1.888083	-1.888083	200	-2.3543835e-07	2.332605	-0.093971275	-2.154093	0.91933936	0.015036812	0.18	6.0	649.9203822612762
2	-1.6449382	0.015647598	-1.5603849	-1.6656	1.0	-3.2432177	2.3841858e-07	-3.2432175	-3.2432175	300	-3.9339067e-08	1.9905365	-0.11472902	-1.5417536	0.9191284	0.018268166	0.27	8.0	971.9604699611664
3	-1.6404257	0.018794948	-1.5404059	-1.6644495	1.0	-4.4420643	0.0	-4.4420643	-4.4420643	400	2.861023e-07	1.6392691	-0.11817272	-1.0124176	0.9188453	0.016359748	0.2	7.0	1294.427800655365
4	-1.6391351	0.027406912	-1.462207	-1.6662288	1.0	-5.4737043	4.7683716e-07	-5.473705	-5.473705	500	2.7656554e-07	1.3833927	-0.14832738	-0.61802936	0.918729	0.016187897	0.61	14.0	1618.6558315753937
5	-1.6397164	0.019330664	-1.549295	-1.6642562	1.0	-6.307171	9.536743e-07	-6.30717	-6.30717	600	2.670288e-07	1.2236025	-0.11012142	-0.25807106	0.9193958	0.015518456	0.13	6.0	1938.8737106323242
6	-1.6415491	0.01838575	-1.5764462	-1.6667078	1.0	-6.8537884	1.4305115e-06	-6.85379	-6.85379	700	-3.33786e-08	1.3605087	-0.12595162	-0.10878372	0.9195699	0.016485557	0.31	6.0	2259.8090541362762
7	-1.6379082	0.02850641	-1.4869297	-1.6684364	1.0	-7.2080607	9.536743e-07	-7.20806	-7.20806	800	-2.7179718e-07	1.425155	-0.107972875	-0.04144287	0.91968846	0.017901039	0.21	4.0	2579.849096775055
8	-1.6384988	0.02196834	-1.5397867	-1.6666383	1.0	-7.4235134	1.4305115e-06	-7.423512	-7.423512	900	2.3841858e-07	1.5905235	-0.13816305	-0.00026607513	0.91979235	0.020196952	0.5	7.0	2901.563312292099
9	-1.6424392	0.018157382	-1.5591747	-1.6662495	1.0	-7.4411426	0.0	-7.4411426	-7.4411426	1000	-1.4305114e-08	1.6656392	-0.16078037	-0.10525346	0.9199263	0.015271263	0.81	14.0	3223.3791127204895
10	-1.6357772	0.027059749	-1.5228049	-1.6650126	1.0	-7.114312	0.0	-7.114312	-7.114312	1100	-2.002716e-07	2.346343	-0.13434368	-0.48613214	0.9203892	0.021522522	0.41	6.0	3543.8227667808533
11	-1.6430446	0.01793094	-1.5419918	-1.6667705	1.0	-6.3990088	9.536743e-07	-6.3990097	-6.3990097	1200	-1.2397766e-07	2.0690415	-0.14183356	-0.57403636	0.9205965	0.01610653	0.46	5.0	3863.7454268932343
12	-1.6375731	0.028395899	-1.5214288	-1.6692669	1.0	-5.6005926	4.7683716e-07	-5.600592	-5.600592	1300	1.6093254e-07	2.3714395	-0.14962466	-1.00062	0.9207534	0.015282784	0.76	11.0	4180.212268590927
13	-1.6422025	0.018159328	-1.5475575	-1.6675503	1.0	-4.5242305	0.0	-4.5242305	-4.5242305	1400	-3.2901764e-07	2.3849077	-0.15542322	-1.2725958	0.92090154	0.022576066	0.7	9.0	4496.680288314819
14	-1.6431596	0.020736655	-1.5497653	-1.6686054	1.0	-3.3738	4.7683716e-07	-3.3737996	-3.3737996	1500	-3.0994414e-07	1.4569179	-0.14424486	-0.7142573	0.9208801	0.018002663	0.55	5.0	4814.985847234726
15	-1.6427234	0.021058014	-1.5543733	-1.6659645	1.0	-2.5691876	4.7683716e-07	-2.569188	-2.569188	1600	-4.005432e-07	0.71240205	-0.152548	-0.30149576	0.9209342	0.015749855	0.65	6.0	5131.081876277924
16	-1.6424273	0.025836963	-1.5096536	-1.6671131	1.0	-2.058662	0.0	-2.058662	-2.058662	1700	3.2424927e-07	0.39692622	-0.15308721	-0.15176022	0.92088807	0.026211739	0.68	6.0	5448.263169765472
